# Generated from Yale Bright Star Catalog / NASA HEASARC BSC5. Columns: hr,ra_hours,dec_deg,visual_magnitude
2736,7.145805556,-70.498888889,3.78
4257,10.891555556,-58.853333333,3.78
2650,7.068472222,20.570277778,3.79
2821,7.428777778,27.798055556,3.79
7420,19.495083333,51.729722222,3.79
7735,20.227194444,46.741388889,3.79
941,3.158277778,44.857222222,3.80
3888,9.849833333,59.038611111,3.80
4058,10.332944444,19.840555556,3.80
5788,15.580027778,10.537500000,3.80
5789,15.580027778,10.539166667,3.80
6588,17.657750000,46.006388889,3.80
1931,5.645777778,-2.600000000,3.81
2035,5.855361111,-20.879166667,3.81
4094,10.434833333,-16.836388889,3.81
1464,4.592500000,-30.562222222,3.82
3690,9.314083333,36.802500000,3.82
4114,10.464638889,-58.739444444,3.82
6149,16.515222222,1.983888889,3.82
7536,19.789805556,18.534166667,3.82
8961,23.626083333,46.458055556,3.82
1131,3.738638889,32.288333333,3.83
4247,10.888527778,34.215000000,3.83
5248,13.971194444,-42.100833333,3.83
5470,14.797666667,-79.044722222,3.83
6779,18.125722222,28.762500000,3.83
7582,19.802888889,70.267777778,3.83
1411,4.476250000,15.962222222,3.84
3445,8.677111111,-46.648888889,3.84
3571,8.917444444,-60.644722222,3.84
4167,10.621694444,-48.225833333,3.84
4434,11.523388889,69.331111111,3.84
5849,15.712388889,26.295555556,3.84
6895,18.394972222,21.769722222,3.84
8518,22.360944444,-1.387222222,3.84
1175,3.736666667,-64.806944444,3.85
2020,5.788083333,-51.066388889,3.85
2296,6.368555556,-33.436388889,3.85
2749,7.246861111,-26.772777778,3.85
4023,10.245611111,-42.121944444,3.85
4133,10.546861111,9.306666667,3.85
5933,15.940888889,15.661666667,3.85
6030,16.257305556,-63.685555556,3.85
6973,18.586777778,-8.244166667,3.85
1326,4.233361111,-42.294444444,3.86
4802,12.628388889,-48.541111111,3.86
6695,17.937555556,37.250555556,3.86
6812,18.229388889,-21.058888889,3.86
269,0.945888889,38.499444444,3.87
963,3.201194444,-28.986944444,3.87
1149,3.763777778,24.367777778,3.87
1481,4.636333333,-14.303888889,3.87
1862,5.520194444,-35.470555556,3.87
2580,6.902194444,-24.183888889,3.87
4773,12.541111111,-72.133055556,3.87
4787,12.558055556,69.788333333,3.87
5249,13.978000000,-44.803611111,3.87
5646,15.198916667,-48.737777778,3.87
25,0.156861111,-45.747500000,3.88
3665,9.239416667,2.314166667,3.88
3905,9.879388889,26.006944444,3.88
5089,13.517416667,-39.407500000,3.88
5487,14.717666667,-5.658333333,3.88
5928,15.948083333,-29.214166667,3.88
874,2.940472222,-8.898055556,3.89
4390,11.350111111,-54.491111111,3.89
4689,12.331777778,-0.666944444,3.89
6092,16.329000000,46.313333333,3.89
6102,16.557500000,-78.897222222,3.89
7615,19.938444444,35.083333333,3.89
3314,8.427666667,-3.906388889,3.90
7570,19.874555556,1.005555556,3.90
8820,23.172666667,-45.246666667,3.90
1251,4.052611111,5.989166667,3.91
3487,8.767138889,-46.041666667,3.91
3845,9.664277778,-1.142777778,3.91
4337,11.143166667,-58.975000000,3.91
4743,12.467333333,-50.230555556,3.91
5787,15.592111111,-14.789444444,3.91
338,1.139750000,-55.245833333,3.92
6324,17.004833333,30.926388889,3.92
8131,21.263722222,5.247777778,3.92
1463,4.605305556,-3.352500000,3.93
2970,7.687444444,-9.551111111,3.93
7340,19.361222222,-17.847222222,3.93
100,0.436722222,-43.680000000,3.94
